fold,seed,policy,tau_overlap,tau_dual,tau_rgb_uncertain,margin,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,dual_acceptance_ratio,n_rgb_boxes,n_dual_boxes,n_output_boxes
fold2,42,GateB,0.6,0.3,0.5,0.1,0.24958134256106418,0.49915903700492165,3.6481172067096173e-06,0,-0.0026117756333441933,0.009621584716725879,39807,79093,40568
fold2,42,GateB,0.6,0.3,0.5,0.2,0.24900552956391725,0.4980074110106278,3.6481172067096173e-06,0,-0.0031875886304911227,0.009356074494582327,39807,79093,40547
fold2,42,GateB,0.6,0.3,0.7,0.05,0.14937807158053654,0.29875249504386636,3.6481172067096173e-06,0,-0.10281504661387184,0.017485744629739675,39807,79093,41190
fold2,42,GateB,0.6,0.3,0.7,0.1,0.14937807158053654,0.29875249504386636,3.6481172067096173e-06,0,-0.10281504661387184,0.017371954534535293,39807,79093,41181
fold2,42,GateB,0.6,0.3,0.7,0.2,0.14921533649290827,0.29842702486860984,3.6481172067096173e-06,0,-0.1029777817015001,0.017081157624568546,39807,79093,41158
fold2,42,GateB,0.7,0.05,0.3,0.05,0.25811053853001087,0.5162202211899657,8.558700561022821e-07,0,0.005917420335602497,0.34265990669212193,39807,79093,66909
fold2,42,GateB,0.7,0.05,0.3,0.1,0.25820202102851936,0.5164031818992055,8.601578332280118e-07,0,0.006008902834110985,0.3372106254662233,39807,79093,66478
fold2,42,GateB,0.7,0.05,0.3,0.2,0.2583249871211744,0.5166491085693977,8.656729510675479e-07,0,0.0061318689267660376,0.33174870089641306,39807,79093,66046
fold2,42,GateB,0.7,0.05,0.5,0.05,0.2587263570328042,0.5174518582202129,8.55845395523244e-07,0,0.0065332388383958495,0.34281162681906113,39807,79093,66921
fold2,42,GateB,0.7,0.05,0.5,0.1,0.2588178128986373,0.5176347656394414,8.601578332280118e-07,0,0.0066246947042289395,0.33732441556142767,39807,79093,66487
fold2,42,GateB,0.7,0.05,0.5,0.2,0.2583666936250465,0.5167325215771419,8.656729510675479e-07,0,0.006173575430638123,0.33177398758423626,39807,79093,66048
fold2,42,GateB,0.7,0.05,0.7,0.05,0.15852102638256418,0.31704119691973287,8.55845395523244e-07,0,-0.09367209181184419,0.3505872833246937,39807,79093,67536
fold2,42,GateB,0.7,0.05,0.7,0.1,0.15861214030602128,0.3172234204542093,8.601578332280118e-07,0,-0.0935809778883871,0.3451000720670603,39807,79093,67102
fold2,42,GateB,0.7,0.05,0.7,0.2,0.1585763201045666,0.31715177453618215,8.656729510675479e-07,0,-0.09361679808984177,0.3395117140581341,39807,79093,66660
fold2,42,GateB,0.7,0.1,0.3,0.05,0.25364819017597995,0.5072950618607358,1.3184912241224122e-06,0,0.0014550719815715762,0.16432554081903583,39807,79093,52804
fold2,42,GateB,0.7,0.1,0.3,0.1,0.25366597690653603,0.5073306346777389,1.3191353331718127e-06,0,0.001472858712127656,0.1632382132426384,39807,79093,52718
fold2,42,GateB,0.7,0.1,0.3,0.2,0.2537287467550091,0.507456163149007,1.3303610111985355e-06,0,0.0015356285606007436,0.15816823233408772,39807,79093,52317
fold2,42,GateB,0.7,0.1,0.5,0.05,0.25426597214123586,0.5085306258497718,1.318432699943615e-06,0,0.002072853946827491,0.16447726094597498,39807,79093,52816
fold2,42,GateB,0.7,0.1,0.5,0.1,0.2542837405433494,0.5085661619513656,1.3191353331718127e-06,0,0.002090622348941029,0.1633520033378428,39807,79093,52727
fold2,42,GateB,0.7,0.1,0.5,0.2,0.2537704532588812,0.5075395761567512,1.3303610111985355e-06,0,0.001577335064472829,0.15819351902191092,39807,79093,52319
fold2,42,GateB,0.7,0.1,0.7,0.05,0.15406209868327206,0.30812287893384416,1.318432699943615e-06,0,-0.09813101951113631,0.172240274107696,39807,79093,53430
fold2,42,GateB,0.7,0.1,0.7,0.1,0.1540798615429302,0.30815840395052724,1.3191353331718127e-06,0,-0.09811325665147816,0.17111501649956382,39807,79093,53341
fold2,42,GateB,0.7,0.1,0.7,0.2,0.1539802601878722,0.3079591900147332,1.3303610111985355e-06,0,-0.09821285800653617,0.16591860215189713,39807,79093,52930
fold2,42,GateB,0.7,0.2,0.3,0.05,0.2489016088364556,0.4978010601244041,2.1575485070843107e-06,0,-0.0032915093579527765,0.04482065416661399,39807,79093,43352
fold2,42,GateB,0.7,0.2,0.3,0.1,0.2489016088364556,0.4978010601244041,2.1575485070843107e-06,0,-0.0032915093579527765,0.044757437447056,39807,79093,43347
fold2,42,GateB,0.7,0.2,0.3,0.2,0.24890160930681718,0.4978010601244041,2.158489230217986e-06,0,-0.0032915088875911935,0.044150556939299306,39807,79093,43299
fold2,42,GateB,0.7,0.2,0.5,0.05,0.2495218534011975,0.49904154925388794,2.1575485070843107e-06,0,-0.0026712647932108646,0.04495973094964156,39807,79093,43363
fold2,42,GateB,0.7,0.2,0.5,0.1,0.2495218534011975,0.49904154925388794,2.1575485070843107e-06,0,-0.0026712647932108646,0.044871227542260375,39807,79093,43356
fold2,42,GateB,0.7,0.2,0.5,0.2,0.24894331581068926,0.4978844731321483,2.158489230217986e-06,0,-0.003249802383719108,0.0441758436271225,39807,79093,43301
fold2,42,GateB,0.7,0.2,0.7,0.05,0.14931858242066987,0.29863500729283265,2.1575485070843107e-06,0,-0.1028745357737385,0.052710100767450974,39807,79093,43976
fold2,42,GateB,0.7,0.2,0.7,0.1,0.14931858242066987,0.29863500729283265,2.1575485070843107e-06,0,-0.1028745357737385,0.05262159736006979,39807,79093,43969
fold2,42,GateB,0.7,0.2,0.7,0.2,0.14915312273968026,0.2983040869901303,2.158489230217986e-06,0,-0.10303999545472811,0.05190092675710872,39807,79093,43912
fold2,42,GateB,0.7,0.3,0.3,0.05,0.24890234475980086,0.4978010601244041,3.6293951975842746e-06,0,-0.0032907734346075135,0.010430758727068135,39807,79093,40632
fold2,42,GateB,0.7,0.3,0.3,0.1,0.24890234475980086,0.4978010601244041,3.6293951975842746e-06,0,-0.0032907734346075135,0.010380185351421744,39807,79093,40628
fold2,42,GateB,0.7,0.3,0.3,0.2,0.24890234475980086,0.4978010601244041,3.6293951975842746e-06,0,-0.0032907734346075135,0.010304325287952158,39807,79093,40622
fold2,42,GateB,0.7,0.3,0.5,0.05,0.24952258932454277,0.49904154925388794,3.6293951975842746e-06,0,-0.0026705288698656016,0.010557192166184112,39807,79093,40642
fold2,42,GateB,0.7,0.3,0.5,0.1,0.24952258932454277,0.49904154925388794,3.6293951975842746e-06,0,-0.0026705288698656016,0.010481332102714526,39807,79093,40636
fold2,42,GateB,0.7,0.3,0.5,0.2,0.24894405126367294,0.4978844731321483,3.6293951975842746e-06,0,-0.003249066930735428,0.010329611975775354,39807,79093,40624
