source,method,fold,seed,tau_overlap,tau_dual,AP50,smoke_AP50,fire_AP50,person_AP50,delta_AP50_vs_rgb,acceptance_ratio,notes
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2175735329517059,0.0,0.6527205988551177,0.0,0.14566341491570683,0.36415747350205496,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.20387830028715012,0.0,0.6116349008614503,0.0,0.13196818225115103,0.3309539260220636,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21161801830604687,0.0,0.6348540549181406,0.0,0.1397079002700478,0.3464200735453169,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21574523305977142,0.0,0.6472356991793142,0.0,0.14383511502377233,0.35431537962362103,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21644516167204444,0.0,0.6493354850161334,0.0,0.14453504363604536,0.35485615401254594,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2030003471537898,0.0,0.6090010414613695,0.0,0.13109022911779072,0.3242483235993943,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21057668329850407,0.0,0.6317300498955122,0.0,0.13866656526250498,0.3393900064892927,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21456534989835832,0.0,0.643696049695075,0.0,0.14265523186235923,0.34717715768981183,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21491486873260948,0.0,0.6447446061978285,0.0,0.1430047506966104,0.34771793207873675,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.20652445144086087,0.0,0.6195733543225826,0.0,0.13461433340486179,0.35074626865671643,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.214334569973494,0.0,0.6430037099204821,0.0,0.14242445193749492,0.36675319056889466,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21857973327437277,0.0,0.6557391998231183,0.0,0.14666961523837369,0.37497296128055374,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2187553501724453,0.0,0.6562660505173359,0.0,0.14684523213644624,0.3755137356694787,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2059802477810011,0.0,0.6179407433430033,0.0,0.13407012974500204,0.34144494916720747,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21393976802823775,0.0,0.6418193040847132,0.0,0.14202964999223866,0.3570192515682457,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21805885498247926,0.0,0.6541765649474378,0.0,0.14614873694648017,0.36513086740211986,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21836956205735872,0.0,0.6551086861720762,0.0,0.14645944402135963,0.3656716417910448,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.20463426931226913,0.0,0.6139028079368074,0.0,0.13272415127627007,0.33246809431105345,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2123903967376143,0.0,0.637171190212843,0.0,0.14048027870161522,0.3479342418343067,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21648326112181346,0.0,0.6494497833654403,0.0,0.14457314308581437,0.35582954791261084,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21719667257275999,0.0,0.65159001771828,0.0,0.14528655453676093,0.3563703223015358,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2037796225990498,0.0,0.6113388677971494,0.0,0.13186950456305074,0.3257624918883842,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21129074425875582,0.0,0.6338722327762675,0.0,0.13938062622275676,0.3409041747782825,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21532747619607126,0.0,0.6459824285882138,0.0,0.14341735816007217,0.34869132597880165,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21565338765012074,0.0,0.6469601629503622,0.0,0.14374326961412165,0.34923210036772656,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.20652445144086087,0.0,0.6195733543225826,0.0,0.13461433340486179,0.35074626865671643,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.214334569973494,0.0,0.6430037099204821,0.0,0.14242445193749492,0.36675319056889466,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21857973327437277,0.0,0.6557391998231183,0.0,0.14666961523837369,0.37497296128055374,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2187553501724453,0.0,0.6562660505173359,0.0,0.14684523213644624,0.3755137356694787,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.2059802477810011,0.0,0.6179407433430033,0.0,0.13407012974500204,0.34144494916720747,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21393976802823775,0.0,0.6418193040847132,0.0,0.14202964999223866,0.3570192515682457,R-Fuse rule v1
R-Fuse,rfuse_rule_v1,1,42,0.5,0.03,0.21805885498247926,0.0,0.6541765649474378,0.0,0.14614873694648017,0.36513086740211986,R-Fuse rule v1
